Unnamed: 0,Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Battery,Weight,Thickness,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
100,$799,Dell Inspiron 13-7378,i5-7200U,Intel Graphics 620,8GB,-,256GB,"13.3"" 1920x1080 IPS Touch",8 hrs,3.86 lbs,0.76 in,Medium/Med-High,8,-,"convertible,ultraportable",$799 'Medium/Med-High',"convertible,ultraportable",Dell,Top
101,$799,Dell XPS 13 9360,i3-7100U,Intel Graphics 620,4GB,-,128GB,"13.3"" 1920x1080 IPS",22 hrs,2.7 lbs,0.6 in,Medium/Med-High,9,-,ultraportable,$799 'Medium/Med-High',ultraportable,Dell,Top
102,$817,Asus Zenbook UX360CA,m3-6Y30,Intel Graphics 515,8GB,-,512GB,"13.3"" 1920x1080 IPS Touch",17 hrs,2.9 lbs,0.55 in,Medium/Med-High,8,-,"convertible,ultraportable",$817 'Medium/Med-High',"convertible,ultraportable",Asus,Top
103,$830,Lenovo ThinkPad 13 *,i5-7200U,Intel Graphics 620,8GB,-,128GB,"13.3"" 1920x1080 IPS",11 hrs,3.17 lbs,0.77 in,Medium/Med-High,9,-,"programming,ultraportable",$830 'Medium/Med-High',"programming,ultraportable",Lenovo,Top
104,$849,Dell G3 3590,Core i5-10300H,NVIDIA GTX 1650 4GB,8GB,1TB,256GB,"15.6"" 1920x1080 60Hz",6.5 hrs,5.18 lbs,0.85 in,Medium/Med-High,7,-,gaming,$849 'Medium/Med-High',gaming,Dell,Top
105,$852,Dell Latitude 14 3480*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"14"" 1920x1080 TN",18 hrs,3.87 lbs,0.92 in,Medium/Med-High,8,-,programming,$852 'Medium/Med-High',programming,Dell,Top
106,$887,Apple Macbook Air 13,i5-5350U,Intel HD 6000,8GB,-,128GB PCIe,"13.3"" 1440x900",12 hrs,3 lbs,0.68 in,Medium/Med-High,10,-,"mainstream,programming,ultraportable",$887 'Medium/Med-High',"mainstream,programming,ultraportable",Apple,Top
107,$889,MSI GF63 THIN 9RCX-818,Core i7-9750H,NVIDIA GTX1050Ti 4GB,8GB,-,256GB,"15.6"" 1920x1080 60Hz IPS",7 hrs,4.10 lbs,0.85 in,Medium/Med-High,7,-,gaming,$889 'Medium/Med-High',gaming,MSI,Top
108,$895,Lenovo ThinkPad T470*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"14"" 1920x1080 IPS",18 hrs,3.48 lbs,0.79 in,Medium/Med-High,9,-,programming,$895 'Medium/Med-High',programming,Lenovo,Top
109,$911,Lenovo ThinkPad T570*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"15.6"" 1920x1080 IPS",26 hrs*,4.5 lbs,0.8 in,Medium/Med-High,9,-,programming,$911 'Medium/Med-High',programming,Lenovo,Top
110,$915,Lenovo ThinkPad X270*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"12.5"" 1920x1080 IPS",21 hrs*,2.9 lbs,0.8 in,Medium/Med-High,10,-,"programming,ultraportable",$915 'Medium/Med-High',"programming,ultraportable",Lenovo,Top
111,$964,Microsoft Surface Pro 4,i5-6300U,Intel Graphics 520,8GB,-,256GB,"12.3"" 2736x1824 IPS Touch",9 hrs,1.73 lbs,0.33 in,Medium/Med-High,8,-,"convertible,ultraportable",$964 'Medium/Med-High',"convertible,ultraportable",Microsoft,Top
112,$985,Asus TUF A15 1660,Ryzen 7 4800H,NVIDIA GTX 1660Ti 6GB,8GB,-,512GB,"15.6"" 1920x1080 144hz IPS",8.5 hrs,5.07 lbs,0.98 in,Medium/Med-High,8,-,gaming,$985 'Medium/Med-High',gaming,Asus,Top
113,$988,LG Gram 15,i5-7200U,Intel Graphics 620,8GB,-,256GB,"15.6"" 1920x1080 IPS",15 hrs,2.4 lbs,0.6 in,Medium/Med-High,7,-,mainstream,$988 'Medium/Med-High',mainstream,LG,Top
114,$989,HP Spectre x360 13,i5-7200U,Intel Graphics 620,8GB,-,256GB,"13.3"" 1920x1080 IPS Touch",16 hrs,2.89 lbs,0.55 in,Medium/Med-High,9,-,"convertible,ultraportable",$989 'Medium/Med-High',"convertible,ultraportable",HP,Top
115,$999,Asus Zenbook UX331UN,i5-8250U,Nvidia MX150,8GB,-,256GB,"13.3"" 1920x1080 IPS Touch",14 hrs,-,-,Medium/Med-High,8,-,"mainstream,ultraportable",$999 'Medium/Med-High',"mainstream,ultraportable",Asus,Top
116,$999,Dell Latitude 14 3490*,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"14"" 1920x1080 TN",15 hrs,3.79 lbs,0.82 in,Medium/Med-High,8,-,programming,$999 'Medium/Med-High',programming,Dell,Top
