Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
"EGP38,799.00",HP Pavilion x360 14-ek0011ne,"12th Gen Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris® Xᵉ Graphics,8 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"14"" FHD 1920 x 1080",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh395-2-2b.jpg,360X,"EGP38,799.00 'Medium'","360X,https://2b.com.eg/en/hp-pavilion-x360-14-ek0011ne-intelr-coretmi5-1235u-8gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,In stock",HP,Deal
"EGP36,499.00",TP3402ZA-LZ007W,"Intel® Core™ i7-12700H Processor 24M Cache, up to 4.70 GHz",*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory,8 GB,Unspecified,512GB SSD,"14.0-inch, WUXGA (1920 x 1200)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu357.jpg,360X,"EGP36,499.00 'Low'","360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz007w-intelr-coretm-i7-12700h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,In stock",Asus,Deal
"EGP28,999.00",TN3402QA-LZ005W,"AMD Ryzen™ 5 5600H Mobile Processor (6-core/12-thread, 19MB cache, up to 4.2 GHz max boost)",512GB M.2 NVMe™ PCIe® 3.0 SSD,8 GB,Unspecified,512GB SSD,14.0 '' WUXGA,Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu380.jpg,360X,"EGP28,999.00 'Low'","360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tn3402qa-lz005w-amd-ryzentm-r5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-quiet-blue.html,In stock",Asus,Deal
"EGP30,299.00",TN3402YA-LZ005W,"AMD Ryzen™ 5 7530U Processor 2.0GHz (19MB Cache, up to 4.5 GHz, 6 cores, 12 Threads)",AMD Radeon Graphics,8 GB,Unspecified,512GB M.2 NVMe™ PCIe® 3.0 SSD,"14.0-inch, WUXGA (1920 x 1200)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu613--11.png,360X,"EGP30,299.00 'Low'","360X,https://2b.com.eg/en/asus-vivobook-s14-flip-tn3402ya-lz005w-laptop-amd-ryzentm-r5-7530u-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-cool-silver.html,In stock",Asus,Deal
"EGP35,499.00",TP3402ZA-LZ005W,"12th Gen Intel® Core™ i5-12500H (up to 4.5 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads)",*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory,8 GB,Unspecified,512GB SSD,"14.0-inch, WUXGA (1920 x 1200)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu358.png,360X,"EGP35,499.00 'Low'","360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz005w-intelr-coretm-i5-12500h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,Out Of Stock",Asus,Deal
"EGP47,199.00",HP Pavilion x360 14-ek0010ne,"12th Gen Intel® Core™ i7-1255U (up to 4.7 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris Xe Graphics,16 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"14"" FHD 1920 x 1080",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh395-1-2b.jpg,360X,"EGP47,199.00 'Medium'","360X,https://2b.com.eg/en/hp-pavilion-x360-14-ek0010ne-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,In stock Only 1 left",HP,Deal
"EGP35,999.00",Lenovo Flex 5,"AMD Ryzen™ 7 5700U (8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3)",Integrated AMD Radeon™ Graphics,8 GB,Unspecified,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,"14"" FHD 1920 x 1080 , Touch",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl869-1-2b.jpg,360X,"EGP35,999.00 'Low'","360X,https://2b.com.eg/en/lenovo-flex-5-amd-ryzentm7-5700u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-win10-graphite-grey.html,In stock Only 1 left",Lenovo,Deal
"EGP47,199.00",HP ENVY x360 13-bf0003ne,"12th Gen Intel® Core™ i5-1230U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris® Xᵉ Graphics,8 GB,Unspecified,512 GB PCIe® NVMe™ TLC M.2 SSD,"13.3"" WUXGA 1920 x 1200",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh394-evo.jpg,360X,"EGP47,199.00 'Medium'","360X,https://2b.com.eg/en/hp-envy-x360-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-intelr-irisr-x-graphics-13-3-wuxga-win11-natural-silver.html,In stock Only 5 left",HP,Deal
"EGP60,999.00",Lenovo LOQ 15IRX9,"13th Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W",16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl439-zl439.png,Gaming,"EGP60,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Deal
"EGP131,849.00",MSI Vector 17 HX A14VHG,"14th Gen. Intel® Core™ i9 processor 14900HX 36M Cache, up to 5.80 GHz",NVIDIA® GeForce RTX™ 4080 Laptop GPU 12GB GDDR6,32 GB,Unspecified,"1x M.2 SSD slot (NVMe PCIe Gen4), 1x M.2 SSD slot (NVMe PCIe Gen5) Compatible",17” QHD,High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm973.png,Gaming,"EGP131,849.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/msi-vector-17-hx-a14vhg-laptop-intelr-coretm-i9-14900hx-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4080-12gb-17-qhd-win11-cosmos-gray.html,In stock Only 1 left",MSI,Deal
"EGP229,999.00",MSI Titan 18HX A14VI,"14th Gen. Intel® Core™ i9 processor 14900HX 36M Cache, up to 5.80 GHz",NVIDIA® GeForce RTX™ 4090 Laptop GPU 16GB GDDR6,64 GB,Unspecified,"2x M.2 SSD slot (NVMe PCIe Gen4), 1x M.2 SSD slot (NVMe PCIe Gen5) Compatible",18” UHD,High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm973_1.png,Gaming,"EGP229,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/msi-titan-18hx-a14vi-laptop-intelr-coretm-i9-14900hx-64gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-18-uhd-win11-core-black.html,In stock Only 1 left",MSI,Deal
"EGP37,999.00",Lenovo LOQ 15IRH8,"12th ntel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB","NVIDIA® GeForce RTX™ 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl390_1.jpg,Gaming,"EGP37,999.00 'Medium'","Gaming,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-storm-grey.html,In stock Only 2 left",Lenovo,Deal
"EGP41,999.00",Dell G15-5515,"AMD® Ryzen™ 7 5800H Mobile (20 MB total cache, 8 cores, 16 threads)",NVIDIA® GeForce RTX™ 3050 4GB,8 GB,Unspecified,"512 GB, M.2, PCIe NVMe, SSD","15.6"", FHD 1920x1080",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd089-1n-2b.jpg,Gaming,"EGP41,999.00 'Medium'","Gaming,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,In stock",Dell,Deal
"EGP85,999.00",ASUS ROG Flow X16 GV601VU-NF060W,"13th Generation Intel® Core™ i9-13900H Processor 24M Cache, up to 5.40 GHz",NVIDIA® GeForce RTX™ 4050 6GB,16 GB,Unspecified,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16"" 2K WQXGA",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu468-1.png,Gaming,"EGP85,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/asus-rog-flow-x16-gv601vu-nf060w-laptop-intelr-coretm-i9-13900h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-2k-wqxga-win11-off-black.html,In stock Only 1 left",Asus,Deal
"EGP54,999.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1_1.png,Gaming,"EGP54,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Deal
"EGP49,999.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1.png,Gaming,"EGP49,999.00 'Medium'","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Deal
"EGP53,999.00",MSI Cyborg 15 A13VF,"13 Gen. Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6,16 GB,Unspecified,1x M.2 SSD slot (NVMe PCIe Gen4),"15.6"" FHD (1920x1080)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm974_1.png,Gaming,"EGP53,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/msi-cyborg-15-a13vf-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-translucent-black.html,In stock",MSI,Deal
"EGP52,999.00",HP Victus 16-d1026ne,"12th Gen Intel® Core™ i7-12700H (up to 4.7 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads)",NVIDIA® GeForce RTX™ 3060 Laptop GPU (6 GB GDDR6 dedicated),16 GB,Unspecified,512 GB PCIe® NVMe™ TLC M.2 SSD,"16.1"" FHD 1920 x 1080",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh425-edited1_1.jpg,Gaming,"EGP52,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/hp-victus-16-d1026ne-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-16-1-fhd-win11-mica-silver.html,In stock",HP,Deal
"EGP60,999.00",MSI Cyborg 15 AI A1VF,"Intel® Core™ Ultra 7 Processor 155H 24M Cache, up to 4.80 GHz",NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6,16 GB,Unspecified,1x M.2 SSD slot (NVMe PCIe Gen4),"15.6"" FHD (1920x1080)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm974.png,Gaming,"EGP60,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/msi-cyborg-15-ai-a1vf-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-win11-translucent-black.html,In stock Only 1 left",MSI,Deal
"EGP67,099.00",Asus TUF Gaming A15 FA507NU-LP045W,"AMD Ryzen™ 7-7735HS (8 Cores , 16threads , 3.2GHZ Up to 4.75GHz)","NVIDIA® GeForce RTX™ 4050 Laptop GPU, 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost), 6GB GDDR6",16 GB,Unspecified,512GB PCIe® 4.0 NVMe™ M.2 SSD,"15.6"" FHD (1920x1080)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu432.png,Gaming,"EGP67,099.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/asus-tuf-gaming-a15-fa507nu-lp045w-amd-ryzentm-7-7735hs-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-4050-6gb-15-6-fhd-win11-black.html,Out Of Stock",Asus,Deal
"EGP150,999.00",Lenovo Legion 7 Pro 16IRX8H,"13th Generation Intel® Core™ i9-13900HX, 24C (8P + 16E) / 32T, P-core 2.2 / 5.4GHz, E-core 1.6 / 3.9GHz, 36MB","NVIDIA® GeForce RTX™ 4080 12GB GDDR6, Boost Clock 2280MHz, TGP 175W",32 GB,Unspecified,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA (2560x1600)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl879-new.png,Gaming,"EGP150,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/lenovo-legion-7-pro-16irx8h-laptop-intelr-coretm-i9-13900hx-32gb-1tbssd-nvidiar-geforce-rtxtm-4080-12gb-16-wqxga-win11-onyx-grey.html,In stock Only 1 left",Lenovo,Deal
"EGP179,999.00",GU605MY-QR061W,"Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU",NVIDIA® GeForce RTX™ 4090 16GB,32 GB,Unspecified,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,16.0'' 2.5K,High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu318.png,Gaming,"EGP179,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-16-2-5k-wqxga-win11-eclipse-gray.html,In stock Only 4 left",Asus,Deal
"EGP30,999.00",Asus TUF Gaming A15 FA506NF-HN005W,AMD Ryzen™ R5-7535HS,NVIDIA® GeForce® RTX™ 2050 4GB,8 GB,Unspecified,512GB PCIe® 4.0 NVMe™ M.2 SSD,15.6'' FHD,Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu466-1.png,Gaming,"EGP30,999.00 'Low'","Gaming,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506nf-hn005w-laptop-amd-ryzentm-r5-7535hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-win11-graphite-black.html,In stock",Asus,Deal
"EGP83,999.00",Lenovo Legion 5 16IRX9,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core 2.2 / 5.2GHz, E-core 1.6 / 3.7GHz, 30MB",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16 GB,Unspecified,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe,"16"" WQXGA (2560x1600)",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl420-new.png,Gaming,"EGP83,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/lenovo-legion-5-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-wqxga-win11-luna-grey.html,In stock Only 3 left",Lenovo,Deal
"EGP32,999.00",HP Victus 15-fb1013dx,"AMD Ryzen™ 5 7535HS (up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads)",NVIDIA® GeForce RTX™ 2050 Laptop GPU (4 GB GDDR6 dedicated),8 GB,Unspecified,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,"15.6"" FHD 1920 x 1080",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh417-1-2b_1_2_1_3.jpg,Gaming,"EGP32,999.00 'Low'","Gaming,https://2b.com.eg/en/hp-victus-15-fb1013dx-laptop-amd-ryzentm-5-7535hs-8gb-512gb-ssd-nvidiar-geforcer-rtx-2050-4gb-15-6-fhd-win11-mica-silver.html,In stock",HP,Deal
"EGP49,999.00",G513RC-HN088W,"AMD Ryzen™ 7 6800H/HS Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)","NVIDIA® GeForce RTX™ 3050 Laptop GPU ROG Boost: 1550MHz* at 95W (1500MHz Boost Clock+50MHz OC, 80W+15W Dynamic Boost) 4GB GDDR 6",16 GB,Unspecified,512GB PCIe® 4.0 NVMe™ M.2 SSD,15.6-inch FHD (1920 x 1080),Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu384.png,Gaming,"EGP49,999.00 'Medium'","Gaming,https://2b.com.eg/en/asus-rog-strix-g15-g513rc-hn088w-amd-ryzentm-r7-6800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-win11-eclipse-gray.html,In stock",Asus,Deal
"EGP33,999.00",Lenovo LOQ 15IRH8,"12th Intel® Core™ Intel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl390.jpg,Gaming,"EGP33,999.00 'Low'","Gaming,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-grey.html,In stock",Lenovo,Deal
"EGP49,299.00",Lenovo IdeaPad Gaming 3 15ACH6,"AMD Ryzen 7 5800H (8C / 16T, 3.2 / 4.4GHz, 4MB L2 / 16MB L3)","NVIDIA GeForce RTX 3060 6GB GDDR6, Boost Clock 1282 / 1485MH, TGP 90W",8 GB,Unspecified,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,"15.6"" FHD (1920x1080)",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl817-1-2b-1y_2.jpg,Gaming,"EGP49,299.00 'Medium'","Gaming,https://2b.com.eg/en/lenovo-ideapad-gaming-3-15ach6-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-15-6-fhd-win11-shadow-black.html,Out Of Stock",Lenovo,Deal
"EGP33,999.00",Lenovo LOQ 15IRH8,"13th Intel® Core™ Intel® Core™ i5-12450H Processor 12M Cache, up to 4.40 GHz",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl418-1.png,Gaming,"EGP33,999.00 'Low'","Gaming,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-storm-grey.html,In stock",Lenovo,Deal
"EGP32,799.00",HP Victus 15-fb0036ne,"AMD Ryzen™ 5 5600H (up to 4.2 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads)",NVIDIA® GeForce® GTX 1650 Laptop GPU (4 GB GDDR6 dedicated),8 GB,Unspecified,1TB PCIe® NVMe™ TLC M.2 SSD,"15.6"" FHD 1920 x 1080",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh417-1-2b_1_2_1_1.jpg,Gaming,"EGP32,799.00 'Low'","Gaming,https://2b.com.eg/en/hp-victus-15-fb0036ne-amd-ryzentm-5-5600h-8gb-1tb-ssd-nvidiar-geforce-gtx-1650-4gb-15-6-fhd-win11-mica-silver.html,In stock Only 2 left",HP,Deal
"EGP41,999.00",HP Victus 15-fb0033ne,"AMD Ryzen™ 7 5800H (up to 4.4 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads",NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU (4 GB GDDR6 dedicated),16 GB,Unspecified,512GB SSD,"15.6"" FHD 1920 x 1080, 144 Hz",Medium,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh417-1-2b_2.jpg,Gaming,"EGP41,999.00 'Medium'","Gaming,https://2b.com.eg/en/hp-victus-15-fb0033ne-amd-ryzentm-7-5800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-15-6-fhd-win11-mica-silver.html,In stock Only 2 left",HP,Deal
"EGP32,999.00",Lenovo LOQ 15IAX9,"Intel® Core™ i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl425.png,Gaming,"EGP32,999.00 'Low'","Gaming,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-2050-4gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Deal
"EGP52,999.00",Dell G15 5520,"12th Gen Intel® Core™ i7-12700H (24 MB cache, 14 cores, 20 threads, up to 4.70 GHz Turbo)","NVIDIA® GeForce RTX™ 3060, 6 GB GDDR6",16 GB,Unspecified,"512 GB, M.2, Gen 4 PCIe, SSD","15.6"", FHD 1920x1080",High/Extreme-High,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd118-1n-2b_1.jpg,Gaming,"EGP52,999.00 'High/Extreme-High'","Gaming,https://2b.com.eg/en/dell-g15-5520-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3060-6gb-15-6-fhd-ubuntu-dark-grey.html,In stock",Dell,Deal
"EGP33,499.00",Lenovo IdeaPad Gaming 3,"AMD Ryzen™ 5 5500H (4C / 8T, 3.3 / 4.2GHz, 2MB L2 / 8MB L3)",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)",Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl387--1.png,Gaming,"EGP33,499.00 'Low'","Gaming,https://2b.com.eg/en/lenovo-ideapad-gaming-3-amd-ryzentm-5-5500h-8gb-512gb-ssd-nvidia-geforce-rtx-2050-4gb-15-6-fhd-shadow-black.html,In stock",Lenovo,Deal
"EGP36,999.00",ASUS TUF Gaming A15 FA506NCR-HN007W,AMD Ryzen™ 7-7435HS,NVIDIA® GeForce® RTX™ 3050 4GB,8 GB,Unspecified,512GB PCIe® 4.0 NVMe™ M.2 SSD,15.6'' FHD,Low,-,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu915-1.png,Gaming,"EGP36,999.00 'Low'","Gaming,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506ncr-hn007w-laptop-amd-ryzentm-7-7435hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3050-4gb-15-6-fhd-win11-off-black.html,In stock",Asus,Deal
